name	address	website	summary
Tsinghua University	Beijing, 100084 China	http://www.tsinghua.edu.cn/publish/newthuen/	Tsinghua University, located in northwest Beijing, China, is a public institution that traces its roots back to 1911. The primary language of instruction is Chinese, though there are some graduate degree programs offered in English. For instance, the university has English-taught master's programs in Chinese politics, foreign policy and international relations; mechanical engineering; and global business journalism, among others. Tuition costs vary by degree program and language of instruction. The university's international students hail from more than 100 countries, with the bulk of them coming from Asia. In a recent year, 41 percent of the university's non-Chinese students were undergraduates, 29 percent were pursuing master's degrees, 9 percent were doctoral students and the rest were participating in shorter-term programs. Tsinghua University housing is available for both undergraduate and graduate students. The university comprises numerous schools and departments, which offer programs across a variety of disciplines: science, engineering, literature, arts, history, philosophy, economics, management, law, education and medicine. In all, there are more than 70 degree programs available to undergraduate students at Tsinghua University, as well as many more master's and doctoral programs. The university has more than 300 research institutions. Among the university's research labs are the Tsinghua National Laboratory for Information Science and Technology, the State Key Laboratory of Precision Measuring Technology and Instruments and the National Engineering Laboratory for Digital Television. Students at Tsinghua have around 200 student groups that they can get involved in, such as the Zijing Volunteer Service and the Students' Performing Arts Club. Tsinghua University, located in northwest Beijing, China, is a public institution that traces its roots back to 1911. The primary language of instruction is Chinese, though there are some graduate degree programs offered in English. For instance, the university has English-taught master's programs in Chinese politics, foreign policy and international relations; mechanical engineering; and global business journalism, among others. Tuition costs vary by degree program and language of instruction. The university's international students hail from more than 100 countries, with the bulk of them coming from Asia. In a recent year, 41 percent of the university's non-Chinese students were undergraduates, 29 percent were pursuing master's degrees, 9 percent were doctoral students and the rest were participating in shorter-term programs. Tsinghua University housing is available for both undergraduate and graduate students. The university comprises numerous schools and departments, which offer programs across a variety of disciplines: science, engineering, literature, arts, history, philosophy, economics, management, law, education and medicine. In all, there are more than 70 degree programs available to undergraduate students at Tsinghua University, as well as many more master's and doctoral programs. The university has more than 300 research institutions. Among the university's research labs are the Tsinghua National Laboratory for Information Science and Technology, the State Key Laboratory of Precision Measuring Technology and Instruments and the National Engineering Laboratory for Digital Television. Students at Tsinghua have around 200 student groups that they can get involved in, such as the Zijing Volunteer Service and the Students' Performing Arts Club.
Nanyang Technological University	50 Nanyang Avenue 639798 Singapore	http://www.ntu.edu.sg/Pages/home.aspx	
King Abdulaziz University	Abdullah Sulayman Jeddah, 21589 Saudi Arabia	http://www.kau.edu.sa/home_ENGLISH.aspx	
National University of Singapore	21 Lower Kent Ridge Road 119077 Singapore	http://www.nus.edu.sg/	
University of Texas  Austin	Austin, Texas 78712-1111 United States	http://www.utexas.edu	
Southeast University	Nanjing, Jiangsu China	http://www.seu.edu.cn/english/	
Shanghai Jiao Tong University	655 Panyu Rd, Xuhui Shanghai, 200231 China	http://en.sjtu.edu.cn/	
Huazhong University of Science and Technology	1037 Luoyu Road Wuhan, Hubei 430074 China	http://english.hust.edu.cn/	
Stanford University	Stanford, California 94305 United States	http://www.stanford.edu	Stanford University was founded in 1885 and is located in California’s Bay Area, around 30 miles south of San Francisco. More than half of the student body studies at the graduate level. Seven schools comprise the university, many of which are highly ranked for graduate-level studies. Three of the schools offer both undergraduate and graduate degrees: humanities and sciences; earth sciences; and engineering. The business, law, education and medical schools offer only graduate-level degrees. Stanford’s academic calendar is based on a quarter system and the language of instruction is English. Around 8 percent of the undergraduate student body is international, as is around 30 percent of the graduate student population. Housing is guaranteed for four years for undergraduates who enter as freshmen, and more than 90 percent of undergrads live on campus. Stanford also guarantees first-year housing for new graduate students. More than 60 percent of graduate students live on campus, as well as around 30 percent of faculty members. Stanford’s library system, which supports 20 libraries, comprises more than 9.3 million physical volumes. Research funding at Stanford has topped $1 billion, including funds from the federal government for projects at the SLAC National Accelerator Laboratory, a U.S. Department of Energy lab operated by Stanford. Scientists from all over the world – around 3,400 of them annually – take advantage of SLAC’s facilities. Upward of 1,000 scientific papers based on research conducted at the lab are published each year. Stanford University was founded in 1885 and is located in California’s Bay Area, around 30 miles south of San Francisco. More than half of the student body studies at the graduate level. Seven schools comprise the university, many of which are highly ranked for graduate-level studies. Three of the schools offer both undergraduate and graduate degrees: humanities and sciences; earth sciences; and engineering. The business, law, education and medical schools offer only graduate-level degrees. Stanford’s academic calendar is based on a quarter system and the language of instruction is English. Around 8 percent of the undergraduate student body is international, as is around 30 percent of the graduate student population. Housing is guaranteed for four years for undergraduates who enter as freshmen, and more than 90 percent of undergrads live on campus. Stanford also guarantees first-year housing for new graduate students. More than 60 percent of graduate students live on campus, as well as around 30 percent of faculty members. Stanford’s library system, which supports 20 libraries, comprises more than 9.3 million physical volumes. Research funding at Stanford has topped $1 billion, including funds from the federal government for projects at the SLAC National Accelerator Laboratory, a U.S. Department of Energy lab operated by Stanford. Scientists from all over the world – around 3,400 of them annually – take advantage of SLAC’s facilities. Upward of 1,000 scientific papers based on research conducted at the lab are published each year.
Massachusetts Institute of Technology	77 Massachusetts Avenue Cambridge, Massachusetts 02139 United States	http://web.mit.edu/	Massachusetts Institute of Technology, founded in 1861, is located in Cambridge, Massachusetts, near Boston. Around 11,000 students attend the university, with roughly 60 percent of them studying at the graduate level. MIT contains five schools: architecture and planning; engineering; humanities, arts, and social sciences; management; and science. English is the language of instruction at MIT. The academic calendar is a 4-1-4 system with a four-week "Independent Activities Period" in January. During this period, undergraduate and graduate students, faculty, staff and alumni participate in forums, lecture series, recitals and other special activities. First-year undergraduate students are the only ones required to live on campus but many students further along in their studies choose to reside on campus as well. There are many opportunities for both undergraduate and graduate students to gain research experience at one of MIT’s many labs or centers, including the MIT Nuclear Reactor Laboratory, one of the largest university research reactors in the U.S. Nearly 90 percent of MIT undergraduates participate in the school’s Undergraduate Research Opportunities Program, which partners students and faculty for research projects, by the time they graduate. More than $675 million was spent on research at MIT in a recent year, with additional federal funding going to MIT’s Lincoln Laboratory, a Department of Defense research and development lab focused on technological solutions to national security issues. Massachusetts Institute of Technology, founded in 1861, is located in Cambridge, Massachusetts, near Boston. Around 11,000 students attend the university, with roughly 60 percent of them studying at the graduate level. MIT contains five schools: architecture and planning; engineering; humanities, arts, and social sciences; management; and science. English is the language of instruction at MIT. The academic calendar is a 4-1-4 system with a four-week "Independent Activities Period" in January. During this period, undergraduate and graduate students, faculty, staff and alumni participate in forums, lecture series, recitals and other special activities. First-year undergraduate students are the only ones required to live on campus but many students further along in their studies choose to reside on campus as well. There are many opportunities for both undergraduate and graduate students to gain research experience at one of MIT’s many labs or centers, including the MIT Nuclear Reactor Laboratory, one of the largest university research reactors in the U.S. Nearly 90 percent of MIT undergraduates participate in the school’s Undergraduate Research Opportunities Program, which partners students and faculty for research projects, by the time they graduate. More than $675 million was spent on research at MIT in a recent year, with additional federal funding going to MIT’s Lincoln Laboratory, a Department of Defense research and development lab focused on technological solutions to national security issues.
