rank	name	country
1	Tsinghua University	China
2	Nanyang Technological University	Singapore
3	King Abdulaziz University	Saudi Arabia
4	National University of Singapore	Singapore
5	University of Texas  Austin	United States
6	Southeast University	China
7	Shanghai Jiao Tong University	China
8	Huazhong University of Science and Technology	China
9	Stanford University	United States
10	Massachusetts Institute of Technology	United States
11	Zhejiang University	China
12	Swiss Federal Institute of Technology Zurich	Switzerland
13	City University Hong Kong	Hong Kong
14	University of British Columbia	Canada
15	Princeton University	United States
16	Peking University	China
17	Georgia Institute of Technology	United States
18	Carnegie Mellon University	United States
18	Hong Kong University of Science and Technology	Hong Kong
20	University of Waterloo	Canada
21	Harbin Institute of Technology	China
22	Xidian University	China
23	Beijing University of Posts	China
24	University of Southern California	United States
25	University of Technology Sydney	Australia
26	University of Electronic Science and Technology of China	China
27	Nanjing University of Information Science   Technology	China
28	University of California  Berkeley	United States
29	Chinese University Hong Kong	Hong Kong
30	University of New South Wales	Australia
31	University of Toronto	Canada
32	University College London	United Kingdom
33	Aalto University	Finland
34	University of Science and Technology of China	China
35	University of Adelaide	Australia
36	Imperial College London	United Kingdom
37	University of Malaya	Malaysia
38	University of Granada	Spain
39	Wuhan University	China
40	Hong Kong Polytechnic University	Hong Kong
41	University of Sydney	Australia
42	Australian National University	Australia
43	Technical University of Munich	Germany
44	Beihang University	China
45	cole Polytechnique Federale of Lausanne	Switzerland
46	CentraleSupelec	France
47	Harvard University	United States
48	Royal Institute of Technology	Sweden
49	University of Melbourne	Australia
50	Columbia University	United States
51	Singapore University of Technology   Design	Singapore
52	Korea Advanced Institute of Science and Technology	South Korea
53	Polytechnic University of Catalonia	Spain
54	University of Wisconsin  Madison	United States
55	University of California  San Diego	United States
56	King Saud University	Saudi Arabia
57	University of Illinois  Urbana Champaign	United States
58	Virginia Tech	United States
59	New York University	United States
60	Link ping University	Sweden
61	Delft University of Technology	Netherlands
62	Nanjing University	China
63	Purdue University  West Lafayette	United States
64	Xi an Jiaotong University	China
65	Lancaster University	United Kingdom
66	University of Cambridge	United Kingdom
67	University of Hong Kong	Hong Kong
68	Shenzhen University	China
69	University of Edinburgh	United Kingdom
70	Universite Paris Saclay	France
71	Polytechnic University of Milan	Italy
71	University of Erlangen Nuremberg	Germany
73	Sungkyunkwan University	South Korea
74	Northwestern Polytechnical University	China
75	University of Alberta	Canada
75	University of Maryland  College Park	United States
77	University of Surrey	United Kingdom
78	Arizona State University  Tempe	United States
79	Central South University	China
79	University of Michigan  Ann Arbor	United States
81	King Abdullah University of Science   Technology	Saudi Arabia
81	Universite de Lyon  ComUE	France
83	Dalian University of Technology	China
84	University of California  Los Angeles	United States
84	University of Oxford	United Kingdom
86	Michigan State University	United States
87	Deakin University	Australia
88	Vienna University of Technology	Austria
89	Cornell University	United States
89	King s College London	United Kingdom
91	University of Southampton	United Kingdom
92	Beijing Jiaotong University	China
93	Tongji University	China
94	Northeastern University   China	China
94	Pennsylvania State University  University Park	United States
96	University of Qatar	Qatar
97	China University of Geosciences	China
98	Korea University	South Korea
99	RMIT University	Australia
100	Aalborg University	Denmark
