rank	name	country	href
1	Tsinghua University	China	https://www.usnews.com/education/best-global-universities/tsinghua-university-503146
2	Nanyang Technological University	Singapore	https://www.usnews.com/education/best-global-universities/nanyang-technological-university-503366
3	King Abdulaziz University	Saudi Arabia	https://www.usnews.com/education/best-global-universities/king-abdulaziz-university-501597
4	National University of Singapore	Singapore	https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
5	University of Texas  Austin	United States	https://www.usnews.com/education/best-global-universities/university-of-texas-austin-228778
6	Southeast University	China	https://www.usnews.com/education/best-global-universities/southeast-university-505648
7	Shanghai Jiao Tong University	China	https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
8	Huazhong University of Science and Technology	China	https://www.usnews.com/education/best-global-universities/huazhong-university-of-science-and-technology-505190
9	Stanford University	United States	https://www.usnews.com/education/best-global-universities/stanford-university-243744
10	Massachusetts Institute of Technology	United States	https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-166683
11	Zhejiang University	China	https://www.usnews.com/education/best-global-universities/zhejiang-university-504773
12	Swiss Federal Institute of Technology Zurich	Switzerland	https://www.usnews.com/education/best-global-universities/swiss-federal-institute-of-technology-zurich-502241
13	City University Hong Kong	Hong Kong	https://www.usnews.com/education/best-global-universities/city-university-hong-kong-502667
14	University of British Columbia	Canada	https://www.usnews.com/education/best-global-universities/university-of-british-columbia-499976
15	Princeton University	United States	https://www.usnews.com/education/best-global-universities/princeton-university-186131
16	Peking University	China	https://www.usnews.com/education/best-global-universities/peking-university-501148
17	Georgia Institute of Technology	United States	https://www.usnews.com/education/best-global-universities/georgia-institute-of-technology-139755
18	Carnegie Mellon University	United States	https://www.usnews.com/education/best-global-universities/carnegie-mellon-university-211440
18	Hong Kong University of Science and Technology	Hong Kong	https://www.usnews.com/education/best-global-universities/hong-kong-university-of-science-and-technology-503260
20	University of Waterloo	Canada	https://www.usnews.com/education/best-global-universities/university-of-waterloo-499966
21	Harbin Institute of Technology	China	https://www.usnews.com/education/best-global-universities/harbin-institute-of-technology-505604
22	Xidian University	China	https://www.usnews.com/education/best-global-universities/xidian-university-506871
23	Beijing University of Posts	China	https://www.usnews.com/education/best-global-universities/beijing-university-of-posts-502130
24	University of Southern California	United States	https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961
25	University of Technology Sydney	Australia	https://www.usnews.com/education/best-global-universities/university-of-technology-sydney-505153
26	University of Electronic Science and Technology of China	China	https://www.usnews.com/education/best-global-universities/university-of-electronic-science-and-technology-of-china-506780
27	Nanjing University of Information Science   Technology	China	https://www.usnews.com/education/best-global-universities/nanjing-university-of-information-science-technology-529160
28	University of California  Berkeley	United States	https://www.usnews.com/education/best-global-universities/university-of-california-berkeley-110635
29	Chinese University Hong Kong	Hong Kong	https://www.usnews.com/education/best-global-universities/chinese-university-hong-kong-502973
30	University of New South Wales	Australia	https://www.usnews.com/education/best-global-universities/university-of-new-south-wales-502434
31	University of Toronto	Canada	https://www.usnews.com/education/best-global-universities/university-of-toronto-499968
32	University College London	United Kingdom	https://www.usnews.com/education/best-global-universities/university-college-london-501693
33	Aalto University	Finland	https://www.usnews.com/education/best-global-universities/aalto-university-503645
34	University of Science and Technology of China	China	https://www.usnews.com/education/best-global-universities/university-of-science-and-technology-of-china-505547
35	University of Adelaide	Australia	https://www.usnews.com/education/best-global-universities/university-of-adelaide-504015
36	Imperial College London	United Kingdom	https://www.usnews.com/education/best-global-universities/imperial-college-london-505571
37	University of Malaya	Malaysia	https://www.usnews.com/education/best-global-universities/university-of-malaya-501730
38	University of Granada	Spain	https://www.usnews.com/education/best-global-universities/university-of-granada-505316
